,person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
21102,Captain Octavio Rafael Gonzalez,"St. John the Baptist Parish Sheriff's Office, LA","EOW: Friday, June 16, 2006",Cause of Death: Gunfire,Gunfire,2006-06-16,2006,False,St. John the Baptist Parish Sheriff's Office, LA
21103,Police Officer Christopher Fitzgerald Williams,"Wilmington Police Department, NC","EOW: Friday, June 16, 2006",Cause of Death: Training accident,Training accident,2006-06-16,2006,False,Wilmington Police Department, NC
21104,"Special Agent William ""Buddy"" Sentner, III","United States Department of Justice - Office of Inspector General, US","EOW: Wednesday, June 21, 2006",Cause of Death: Gunfire,Gunfire,2006-06-21,2006,False,United States Department of Justice - Office of Inspector General, US
21105,"Officer Valentine D. ""Val"" Lopez, Jr.","San Antonio Police Department, TX","EOW: Wednesday, June 21, 2006",Cause of Death: Gunfire,Gunfire,2006-06-21,2006,False,San Antonio Police Department, TX
21106,Detective Dennis Carmen Stepnowski,"DeKalb County Police Department, GA","EOW: Thursday, June 29, 2006",Cause of Death: Gunfire,Gunfire,2006-06-29,2006,False,DeKalb County Police Department, GA
21107,"Lieutenant James Lee Sunderland, Sr.","Val Verde County Sheriff's Office, TX","EOW: Friday, June 30, 2006",Cause of Death: Automobile accident,Automobile accident,2006-06-30,2006,False,Val Verde County Sheriff's Office, TX
21108,Sergeant Scott Anthony Hanson,"Covina Police Department, CA","EOW: Monday, July 3, 2006",Cause of Death: Automobile accident,Automobile accident,2006-07-03,2006,False,Covina Police Department, CA
21109,Deputy Sheriff David Stan Piquette,"Los Angeles County Sheriff's Department, CA","EOW: Friday, July 7, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-07-07,2006,False,Los Angeles County Sheriff's Department, CA
21110,Deputy Sheriff Scott Gordon Rogers,"Clay County Sheriff's Department, MN","EOW: Saturday, July 8, 2006",Cause of Death: Heart attack,Heart attack,2006-07-08,2006,False,Clay County Sheriff's Department, MN
21111,Deputy Sheriff Charles Aubrey Fisher,"Portsmouth Sheriff's Office, VA","EOW: Saturday, July 8, 2006",Cause of Death: Motorcycle accident,Motorcycle accident,2006-07-08,2006,False,Portsmouth Sheriff's Office, VA
21112,Captain Byron Michael Motley,"Murfreesboro Police Department, TN","EOW: Sunday, July 23, 2006",Cause of Death: Fall,Fall,2006-07-23,2006,False,Murfreesboro Police Department, TN
21113,Officer David Warren McGuinn,"Maryland Division of Correction, MD","EOW: Tuesday, July 25, 2006",Cause of Death: Stabbed,Stabbed,2006-07-25,2006,False,Maryland Division of Correction, MD
21114,Police Officer Nick-Tomasito Birco,"San Francisco Police Department, CA","EOW: Wednesday, July 26, 2006",Cause of Death: Vehicle pursuit,Vehicle pursuit,2006-07-26,2006,False,San Francisco Police Department, CA
21115,Deputy Sheriff Michael Anthony Callin,"Orange County Sheriff's Office, FL","EOW: Wednesday, August 2, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-08-02,2006,False,Orange County Sheriff's Office, FL
21116,Police Officer Phoenix M. Braithwaite,"Haines City Police Department, FL","EOW: Wednesday, August 2, 2006",Cause of Death: Motorcycle accident,Motorcycle accident,2006-08-02,2006,False,Haines City Police Department, FL
21117,Police Officer Peter William Faatz,"Atlanta Police Department, GA","EOW: Thursday, August 3, 2006",Cause of Death: Automobile accident,Automobile accident,2006-08-03,2006,False,Atlanta Police Department, GA
21118,Officer Brent William Clearman,"California Highway Patrol, CA","EOW: Sunday, August 6, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-08-06,2006,False,California Highway Patrol, CA
21119,Police Officer Scott Alan Wertz,"Reading Police Department, PA","EOW: Sunday, August 6, 2006",Cause of Death: Gunfire,Gunfire,2006-08-06,2006,False,Reading Police Department, PA
21120,Inspector Kieran Tyon Shields,"Orange Police Department, NJ","EOW: Monday, August 7, 2006",Cause of Death: Gunfire,Gunfire,2006-08-07,2006,False,Orange Police Department, NJ
21121,Police Officer Joselito Alvarez Barber,"Seattle Police Department, WA","EOW: Sunday, August 13, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-08-13,2006,False,Seattle Police Department, WA
21122,Corporal Christopher Michael Metternich,"Baton Rouge City Police Department, LA","EOW: Monday, August 14, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-08-14,2006,False,Baton Rouge City Police Department, LA
21123,Sergeant Micah Joe Burks,"Autauga County Sheriff's Department, AL","EOW: Wednesday, August 16, 2006",Cause of Death: Automobile accident,Automobile accident,2006-08-16,2006,False,Autauga County Sheriff's Department, AL
21124,Corporal Eric E. Sutphin,"Montgomery County Sheriff's Office, VA","EOW: Monday, August 21, 2006",Cause of Death: Gunfire,Gunfire,2006-08-21,2006,False,Montgomery County Sheriff's Office, VA
21125,Lieutenant Gary Edward Dudley,"Indiana State Police, IN","EOW: Tuesday, August 22, 2006",Cause of Death: Bicycle accident,Bicycle accident,2006-08-22,2006,False,Indiana State Police, IN
21126,Deputy Chief Gary L. Martin,"Lake County Sheriff's Department, IN","EOW: Tuesday, August 22, 2006",Cause of Death: Bicycle accident,Bicycle accident,2006-08-22,2006,False,Lake County Sheriff's Department, IN
21127,Police Officer Dennis Merwin Shuck,"Cheyenne Police Department, WY","EOW: Wednesday, August 23, 2006",Cause of Death: Motorcycle accident,Motorcycle accident,2006-08-23,2006,False,Cheyenne Police Department, WY
21128,Corporal Michael Douglas Young,"Georgia State Patrol, GA","EOW: Tuesday, August 29, 2006",Cause of Death: Automobile accident,Automobile accident,2006-08-29,2006,False,Georgia State Patrol, GA
21129,"Detective Corporal Charles Eugene Smith, II","Beckley Police Department, WV","EOW: Tuesday, August 29, 2006",Cause of Death: Gunfire,Gunfire,2006-08-29,2006,False,Beckley Police Department, WV
21130,"Police Officer Jonathan James ""AJ"" Schroeder","Cleveland Police Department, OH","EOW: Thursday, August 31, 2006",Cause of Death: Gunfire,Gunfire,2006-08-31,2006,False,Cleveland Police Department, OH
21131,Corporal Robert Thomas Krauss,"Maryland Transportation Authority Police, MD","EOW: Friday, September 1, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-09-01,2006,False,Maryland Transportation Authority Police, MD
21132,Patrol Officer Jackie Davis Ryden,"Prescott Police Department, WI","EOW: Saturday, September 2, 2006",Cause of Death: Heart attack,Heart attack,2006-09-02,2006,False,Prescott Police Department, WI
21133,Trooper Joseph Anthony Longobardo,"New York State Police, NY","EOW: Sunday, September 3, 2006",Cause of Death: Gunfire,Gunfire,2006-09-03,2006,False,New York State Police, NY
21134,Police Officer Raul Canales-Mundo,"Carolina Municipal Police Department, PR","EOW: Monday, September 4, 2006",Cause of Death: Gunfire,Gunfire,2006-09-04,2006,False,Carolina Municipal Police Department, PR
21135,Captain Edward C. Gilpin,"New York City Police Department, NY","EOW: Thursday, September 7, 2006",Cause of Death: 9/11 related illness,9/11 related illness,2006-09-07,2006,False,New York City Police Department, NY
21136,Police Officer Patrice M. Ott,"New York City Police Department, NY","EOW: Friday, September 8, 2006",Cause of Death: 9/11 related illness,9/11 related illness,2006-09-08,2006,False,New York City Police Department, NY
21137,"Police Officer Edwanton Allen ""Eddie"" Thomas","Brier Police Department, WA","EOW: Tuesday, September 12, 2006",Cause of Death: Heart attack,Heart attack,2006-09-12,2006,False,Brier Police Department, WA
21138,Staff Sergeant Michael Joseph Watts,"United States Air Force Security Forces, US","EOW: Saturday, September 16, 2006",Cause of Death: Automobile accident,Automobile accident,2006-09-16,2006,False,United States Air Force Security Forces, US
21139,Agent Michael Del Thomas,"Aurora Police Department, CO","EOW: Wednesday, September 20, 2006",Cause of Death: Gunfire,Gunfire,2006-09-20,2006,False,Aurora Police Department, CO
21140,"Deputy Sheriff Robert Earl ""Robbie"" Green","Powhatan County Sheriff's Office, VA","EOW: Wednesday, September 20, 2006",Cause of Death: Automobile accident,Automobile accident,2006-09-20,2006,False,Powhatan County Sheriff's Office, VA
21141,Officer Rodney Joseph Johnson,"Houston Police Department, TX","EOW: Thursday, September 21, 2006",Cause of Death: Gunfire,Gunfire,2006-09-21,2006,False,Houston Police Department, TX
21142,Police Officer Thomas Alan Cook,"Metra Police Department, IL","EOW: Wednesday, September 27, 2006",Cause of Death: Gunfire,Gunfire,2006-09-27,2006,False,Metra Police Department, IL
21143,Constable Elmer Kiser,"Carter County Constable's Office, KY","EOW: Wednesday, September 27, 2006",Cause of Death: Assault,Assault,2006-09-27,2006,False,Carter County Constable's Office, KY
21144,Officer Kevin Louis Weeks,"Tempe Police Department, AZ","EOW: Thursday, September 28, 2006",Cause of Death: Motorcycle accident,Motorcycle accident,2006-09-28,2006,False,Tempe Police Department, AZ
21145,Deputy Sheriff Vernon Matthew Williams,"Polk County Sheriff's Office, FL","EOW: Thursday, September 28, 2006",Cause of Death: Gunfire,Gunfire,2006-09-28,2006,False,Polk County Sheriff's Office, FL
21146,Sergeant Dale Rodney Holcomb,"Ohio State Highway Patrol, OH","EOW: Thursday, September 28, 2006",Cause of Death: Automobile accident,Automobile accident,2006-09-28,2006,False,Ohio State Highway Patrol, OH
21147,Trooper Joshua Patrick Risner,"Ohio State Highway Patrol, OH","EOW: Thursday, September 28, 2006",Cause of Death: Automobile accident,Automobile accident,2006-09-28,2006,False,Ohio State Highway Patrol, OH
21148,Officer Keith Edwin Houts,"Montgomery Police Department, AL","EOW: Saturday, September 30, 2006",Cause of Death: Gunfire,Gunfire,2006-09-30,2006,False,Montgomery Police Department, AL
21149,Trooper William Lloyd McClendon,"Oklahoma Highway Patrol, OK","EOW: Sunday, October 1, 2006",Cause of Death: Automobile accident,Automobile accident,2006-10-01,2006,False,Oklahoma Highway Patrol, OK
21150,"Sheriff Christopher Cooper Daniels, Sr.","Lake County Sheriff's Office, FL","EOW: Saturday, October 14, 2006",Cause of Death: Automobile accident,Automobile accident,2006-10-14,2006,False,Lake County Sheriff's Office, FL
21151,Officer Michael Leland Briggs,"Manchester Police Department, NH","EOW: Tuesday, October 17, 2006",Cause of Death: Gunfire,Gunfire,2006-10-17,2006,False,Manchester Police Department, NH
21152,"Reserve Deputy Lawrence M. Barnes, Sr.","Ross County Sheriff's Office, OH","EOW: Wednesday, October 18, 2006",Cause of Death: Struck by vehicle,Struck by vehicle,2006-10-18,2006,False,Ross County Sheriff's Office, OH
21153,Deputy Sheriff Jeremy Victor Reynolds,"Fayette County Sheriff's Department, TN","EOW: Friday, October 20, 2006",Cause of Death: Automobile accident,Automobile accident,2006-10-20,2006,False,Fayette County Sheriff's Department, TN
21154,Police Officer Daniel Patrick Picagli,"New Haven Police Department, CT","EOW: Saturday, October 21, 2006",Cause of Death: Struck by vehicle,Struck by vehicle,2006-10-21,2006,False,New Haven Police Department, CT
21155,Police Officer Robert Michael Langley,"University of Mississippi Police and Campus Safety Department, MS","EOW: Saturday, October 21, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-10-21,2006,False,University of Mississippi Police and Campus Safety Department, MS
21156,Police Officer II Landon Michael Dorris,"Los Angeles Police Department, CA","EOW: Sunday, October 22, 2006",Cause of Death: Struck by vehicle,Struck by vehicle,2006-10-22,2006,False,Los Angeles Police Department, CA
21157,Deputy Sheriff Margena Silvia Nunez,"Lee County Sheriff's Office, FL","EOW: Sunday, October 22, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-10-22,2006,False,Lee County Sheriff's Office, FL
21158,Police Officer Patrick Roy Kramer,"West Yellowstone Police Department, MT","EOW: Sunday, October 22, 2006",Cause of Death: Automobile accident,Automobile accident,2006-10-22,2006,False,West Yellowstone Police Department, MT
21159,Police Officer Mary Freeman Smith,"Fairfield Police Department, AL","EOW: Monday, October 23, 2006",Cause of Death: Gunfire,Gunfire,2006-10-23,2006,False,Fairfield Police Department, AL
21160,Police Officer Thomas T. Wood,"Maywood Police Department, IL","EOW: Monday, October 23, 2006",Cause of Death: Gunfire,Gunfire,2006-10-23,2006,False,Maywood Police Department, IL
21161,Sheriff James Leroy Johnson,"Sheridan County Sheriff's Office, KS","EOW: Thursday, October 26, 2006",Cause of Death: Gunfire,Gunfire,2006-10-26,2006,False,Sheridan County Sheriff's Office, KS
21162,Deputy Sheriff Jeffrey Vaughn Mitchell,"Sacramento County Sheriff's Department, CA","EOW: Friday, October 27, 2006",Cause of Death: Gunfire,Gunfire,2006-10-27,2006,False,Sacramento County Sheriff's Department, CA
21163,Master Police Officer David George Whitson,"Bowling Green Police Department, KY","EOW: Tuesday, October 31, 2006",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2006-10-31,2006,False,Bowling Green Police Department, KY
21164,Senior Patrol Agent David Norman Webb,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US","EOW: Friday, November 3, 2006",Cause of Death: Automobile accident,Automobile accident,2006-11-03,2006,False,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
21165,"Deputy Sheriff David Leroy Briese, Jr.","Yellowstone County Sheriff's Office, MT","EOW: Friday, November 3, 2006",Cause of Death: Automobile accident,Automobile accident,2006-11-03,2006,False,Yellowstone County Sheriff's Office, MT
21166,Deputy Sheriff David Jerome Rancourt,"Androscoggin County Sheriff's Office, ME","EOW: Saturday, November 4, 2006",Cause of Death: Heart attack,Heart attack,2006-11-04,2006,False,Androscoggin County Sheriff's Office, ME
21167,Deputy Sheriff Robert Daniel Bornet,"Ventura County Sheriff's Office, CA","EOW: Monday, November 6, 2006",Cause of Death: Vehicle pursuit,Vehicle pursuit,2006-11-06,2006,False,Ventura County Sheriff's Office, CA
21168,"Deputy Sheriff William Henry Tiedeman, Jr.","Virginia Beach Sheriff's Office, VA","EOW: Tuesday, November 7, 2006",Cause of Death: Heart attack,Heart attack,2006-11-07,2006,False,Virginia Beach Sheriff's Office, VA
21169,Investigator David Michael Petzold,"Upper Saucon Township Police Department, PA","EOW: Thursday, November 9, 2006",Cause of Death: Struck by vehicle,Struck by vehicle,2006-11-09,2006,False,Upper Saucon Township Police Department, PA
21170,Deputy Sheriff Brian Keith Tephford,"Broward County Sheriff's Office, FL","EOW: Sunday, November 12, 2006",Cause of Death: Gunfire,Gunfire,2006-11-12,2006,False,Broward County Sheriff's Office, FL
21171,"Deputy Sheriff William Joseph Hudnall, Jr.","Kern County Sheriff's Department, CA","EOW: Tuesday, November 14, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-11-14,2006,False,Kern County Sheriff's Department, CA
21172,"Corporal Dennis Christian Wright, Sr.","Effingham County Sheriff's Office, GA","EOW: Friday, November 17, 2006",Cause of Death: Automobile accident,Automobile accident,2006-11-17,2006,False,Effingham County Sheriff's Office, GA
21173,Detective Kevin Shumway Orr,"Uintah County Sheriff's Office, UT","EOW: Wednesday, November 22, 2006",Cause of Death: Aircraft accident,Aircraft accident,2006-11-22,2006,False,Uintah County Sheriff's Office, UT
21174,"Senior Trooper Robert A. Hill, Sr.","Virginia State Police, VA","EOW: Friday, November 24, 2006",Cause of Death: Struck by vehicle,Struck by vehicle,2006-11-24,2006,False,Virginia State Police, VA
21175,Officer Steve Bastidas Favela,"Honolulu Police Department, HI","EOW: Sunday, November 26, 2006",Cause of Death: Motorcycle accident,Motorcycle accident,2006-11-26,2006,False,Honolulu Police Department, HI
21176,"Deputy First Class William H. Beebe, Jr.","Harford County Sheriff's Office, MD","EOW: Tuesday, November 28, 2006",Cause of Death: Heart attack,Heart attack,2006-11-28,2006,False,Harford County Sheriff's Office, MD
21177,Deputy Sheriff Steven E. Cox,"King County Sheriff's Office, WA","EOW: Saturday, December 2, 2006",Cause of Death: Gunfire,Gunfire,2006-12-02,2006,False,King County Sheriff's Office, WA
21178,Police Officer Daniel C. Conroy,"New York City Police Department, NY","EOW: Sunday, December 3, 2006",Cause of Death: 9/11 related illness,9/11 related illness,2006-12-03,2006,False,New York City Police Department, NY
21179,Deputy Sheriff Yvonne D. Pettit,"Washington Parish Sheriff's Office, LA","EOW: Monday, December 4, 2006",Cause of Death: Gunfire,Gunfire,2006-12-04,2006,False,Washington Parish Sheriff's Office, LA
21180,Police Officer Kenneth Chua Jordan,"Colorado Springs Police Department, CO","EOW: Tuesday, December 5, 2006",Cause of Death: Gunfire,Gunfire,2006-12-05,2006,False,Colorado Springs Police Department, CO
21181,Lieutenant John William McKinney,"Whitfield County Sheriff's Office, GA","EOW: Wednesday, December 6, 2006",Cause of Death: Heart attack,Heart attack,2006-12-06,2006,False,Whitfield County Sheriff's Office, GA
21182,Supervisory Special Agent Gregory J. Rahoi,"United States Department of Justice - Federal Bureau of Investigation, US","EOW: Wednesday, December 6, 2006",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),2006-12-06,2006,False,United States Department of Justice - Federal Bureau of Investigation, US
21183,Agent Juan José Burgos-Vélez,"Puerto Rico Police Department, PR","EOW: Thursday, December 7, 2006",Cause of Death: Gunfire,Gunfire,2006-12-07,2006,False,Puerto Rico Police Department, PR
21184,Sergeant Jason Lannes Sheppard,"Aiken County Sheriff's Office, SC","EOW: Thursday, December 7, 2006",Cause of Death: Struck by vehicle,Struck by vehicle,2006-12-07,2006,False,Aiken County Sheriff's Office, SC
21185,Sergeant Michael William Larson,"Bryan County Sheriff's Office, GA","EOW: Monday, December 11, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-12-11,2006,False,Bryan County Sheriff's Office, GA
21186,Officer Dwayne N. Freeto,"Fort Worth Police Department, TX","EOW: Sunday, December 17, 2006",Cause of Death: Vehicular assault,Vehicular assault,2006-12-17,2006,False,Fort Worth Police Department, TX
21187,Trooper Jonathan Kyle Leonard,"Kentucky State Police, KY","EOW: Tuesday, December 19, 2006",Cause of Death: Automobile accident,Automobile accident,2006-12-19,2006,False,Kentucky State Police, KY
21188,Officer Daniel S. Bessant,"Oceanside Police Department, CA","EOW: Wednesday, December 20, 2006",Cause of Death: Gunfire,Gunfire,2006-12-20,2006,False,Oceanside Police Department, CA
21189,Police Officer Bryan D. Tuvera,"San Francisco Police Department, CA","EOW: Saturday, December 23, 2006",Cause of Death: Gunfire,Gunfire,2006-12-23,2006,False,San Francisco Police Department, CA
21190,K9 Miko,"Tucson Police Department, AZ","EOW: Sunday, May 28, 2006",Cause of Death: Fall,Fall,2006-05-28,2006,True,Tucson Police Department, AZ
21191,K9 Diogi,"Polk County Sheriff's Office, FL","EOW: Thursday, September 28, 2006",Cause of Death: Gunfire,Gunfire,2006-09-28,2006,True,Polk County Sheriff's Office, FL
21192,Trooper Calvin Wayne Jenks,"Tennessee Highway Patrol, TN","EOW: Saturday, January 6, 2007",Cause of Death: Gunfire,Gunfire,2007-01-06,2007,False,Tennessee Highway Patrol, TN
21193,Police Officer Tyron Franklin,"Paterson Police Department, NJ","EOW: Sunday, January 7, 2007",Cause of Death: Gunfire,Gunfire,2007-01-07,2007,False,Paterson Police Department, NJ
21194,Deputy Sheriff Rahamy Mitchell,"Fannin County Sheriff's Office, TX","EOW: Sunday, January 7, 2007",Cause of Death: Automobile accident,Automobile accident,2007-01-07,2007,False,Fannin County Sheriff's Office, TX
21195,"Detective Troy Lamont Chesley, Sr.","Baltimore City Police Department, MD","EOW: Tuesday, January 9, 2007",Cause of Death: Gunfire,Gunfire,2007-01-09,2007,False,Baltimore City Police Department, MD
21196,Police Officer Robert Fumiatti,"New Haven Police Department, CT","EOW: Wednesday, January 10, 2007",Cause of Death: Gunfire,Gunfire,2007-01-10,2007,False,New Haven Police Department, CT
21197,"Sergeant James H. ""Heath"" Hardin","Hope Mills Police Department, NC","EOW: Thursday, January 11, 2007",Cause of Death: Heart attack,Heart attack,2007-01-11,2007,False,Hope Mills Police Department, NC
21198,Sergeant Nicholas G. Sottile,"Florida Highway Patrol, FL","EOW: Friday, January 12, 2007",Cause of Death: Gunfire,Gunfire,2007-01-12,2007,False,Florida Highway Patrol, FL
21199,"Police Officer Ervin Michael Hawk Johnston, I","Livonia Police Department, MI","EOW: Friday, January 19, 2007",Cause of Death: Heart attack,Heart attack,2007-01-19,2007,False,Livonia Police Department, MI
21200,Chief of Police Ernest Valencia Mendoza,"Needville Independent School District Police Department, TX","EOW: Friday, January 19, 2007",Cause of Death: Vehicular assault,Vehicular assault,2007-01-19,2007,False,Needville Independent School District Police Department, TX
21201,Police Officer Cesar A. Borja,"New York City Police Department, NY","EOW: Tuesday, January 23, 2007",Cause of Death: 9/11 related illness,9/11 related illness,2007-01-23,2007,False,New York City Police Department, NY
21202,Trooper Jose A. Rosado,"New York State Police, NY","EOW: Wednesday, January 24, 2007",Cause of Death: Automobile accident,Automobile accident,2007-01-24,2007,False,New York State Police, NY
21203,Deputy Sheriff Alan Inzer,"Calcasieu Parish Sheriff's Office, LA","EOW: Thursday, January 25, 2007",Cause of Death: Gunfire,Gunfire,2007-01-25,2007,False,Calcasieu Parish Sheriff's Office, LA
21204,Detective Roberto L. Rivera,"New York City Police Department, NY","EOW: Saturday, January 27, 2007",Cause of Death: 9/11 related illness,9/11 related illness,2007-01-27,2007,False,New York City Police Department, NY
21205,"Deputy Sheriff Harold Michael ""Mike"" Altman","Jackson County Sheriff's Department, FL","EOW: Tuesday, January 30, 2007",Cause of Death: Gunfire,Gunfire,2007-01-30,2007,False,Jackson County Sheriff's Department, FL
21206,"Police Officer Shawn Joshua Dean ""Josh"" Williams","Old Fort Police Department, NC","EOW: Thursday, February 1, 2007",Cause of Death: Automobile accident,Automobile accident,2007-02-01,2007,False,Old Fort Police Department, NC
21207,Police Officer Ariel Anton Frett,"Virgin Islands Police Department, VI","EOW: Thursday, February 8, 2007",Cause of Death: Gunfire,Gunfire,2007-02-08,2007,False,Virgin Islands Police Department, VI
21208,Deputy Sheriff Daniel Browne-Sanchez,"Hawaii Department of Public Safety - Sheriff Division, HI","EOW: Saturday, February 10, 2007",Cause of Death: Gunfire,Gunfire,2007-02-10,2007,False,Hawaii Department of Public Safety - Sheriff Division, HI
21209,Police Officer Sean Wissink,"Des Moines Police Department, IA","EOW: Sunday, February 11, 2007",Cause of Death: Automobile accident,Automobile accident,2007-02-11,2007,False,Des Moines Police Department, IA
21210,Deputy Sheriff Michael Estes,"Walla Walla County Sheriff's Office, WA","EOW: Wednesday, February 14, 2007",Cause of Death: Automobile accident,Automobile accident,2007-02-14,2007,False,Walla Walla County Sheriff's Office, WA
21211,Lieutenant Dexter Holcomb,"Oxford Police Department, AL","EOW: Friday, February 16, 2007",Cause of Death: Struck by vehicle,Struck by vehicle,2007-02-16,2007,False,Oxford Police Department, AL
21212,Police Officer Charles J. Callemyn,"Durham Police Department, NC","EOW: Saturday, February 17, 2007",Cause of Death: Automobile accident,Automobile accident,2007-02-17,2007,False,Durham Police Department, NC
21213,Police Officer Anthony Jon Holly,"Glendale Police Department, AZ","EOW: Monday, February 19, 2007",Cause of Death: Gunfire,Gunfire,2007-02-19,2007,False,Glendale Police Department, AZ
21214,Detective John T. Young,"New York City Police Department, NY","EOW: Monday, February 19, 2007",Cause of Death: 9/11 related illness,9/11 related illness,2007-02-19,2007,False,New York City Police Department, NY
21215,Patrolman First Class Brian Coleman,"Alexandria Police Department, LA","EOW: Wednesday, February 21, 2007",Cause of Death: Automobile accident,Automobile accident,2007-02-21,2007,False,Alexandria Police Department, LA
21216,Police Officer Stephen R. Jerabek,"St. Louis Metropolitan Police Department, MO","EOW: Wednesday, February 21, 2007",Cause of Death: Heart attack,Heart attack,2007-02-21,2007,False,St. Louis Metropolitan Police Department, MO
21217,Detective Keith Dressel,"Toledo Police Department, OH","EOW: Wednesday, February 21, 2007",Cause of Death: Gunfire,Gunfire,2007-02-21,2007,False,Toledo Police Department, OH
21218,Sergeant Howard J. Plouff,"Winston-Salem Police Department, NC","EOW: Friday, February 23, 2007",Cause of Death: Gunfire,Gunfire,2007-02-23,2007,False,Winston-Salem Police Department, NC
21219,Deputy Sheriff Kevin Carper,"Spartanburg County Sheriff's Office, SC","EOW: Tuesday, February 27, 2007",Cause of Death: Gunfire,Gunfire,2007-02-27,2007,False,Spartanburg County Sheriff's Office, SC
21220,Sergeant Tommaso Popolizio,"Newark Police Department, NJ","EOW: Saturday, March 3, 2007",Cause of Death: Vehicle pursuit,Vehicle pursuit,2007-03-03,2007,False,Newark Police Department, NJ
21221,Police Officer Shawn Newlin,"Clayton County Police Department, GA","EOW: Sunday, March 4, 2007",Cause of Death: Motorcycle accident,Motorcycle accident,2007-03-04,2007,False,Clayton County Police Department, GA
21222,Police Officer Louise M. Johnston,"New York City Police Department, NY","EOW: Tuesday, March 6, 2007",Cause of Death: 9/11 related illness,9/11 related illness,2007-03-06,2007,False,New York City Police Department, NY
21223,Deputy Phillip Michael Deese,"Dorchester County Sheriff's Office, SC","EOW: Friday, March 9, 2007",Cause of Death: Automobile accident,Automobile accident,2007-03-09,2007,False,Dorchester County Sheriff's Office, SC
21224,Auxiliary Police Officer Nicholas Todd Pekearo,"New York City Police Department - Auxiliary Police Section, NY","EOW: Wednesday, March 14, 2007",Cause of Death: Gunfire,Gunfire,2007-03-14,2007,False,New York City Police Department - Auxiliary Police Section, NY
21225,"Auxiliary Police Officer Yevgeniy Borisovitch ""Eugene"" Marshalik","New York City Police Department - Auxiliary Police Section, NY","EOW: Wednesday, March 14, 2007",Cause of Death: Gunfire,Gunfire,2007-03-14,2007,False,New York City Police Department - Auxiliary Police Section, NY
21226,Trooper Todd Holmes,"Texas Department of Public Safety - Texas Highway Patrol, TX","EOW: Wednesday, March 14, 2007",Cause of Death: Automobile accident,Automobile accident,2007-03-14,2007,False,Texas Department of Public Safety - Texas Highway Patrol, TX
21227,"Border Patrol Agent Ramon Nevarez, Jr.","United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US","EOW: Thursday, March 15, 2007",Cause of Death: Automobile accident,Automobile accident,2007-03-15,2007,False,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
21228,Border Patrol Agent David Tourscher,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US","EOW: Friday, March 16, 2007",Cause of Death: Automobile accident,Automobile accident,2007-03-16,2007,False,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
21229,Game Warden Justin Hurst,"Texas Parks and Wildlife Department - Law Enforcement Division, TX","EOW: Saturday, March 17, 2007",Cause of Death: Gunfire,Gunfire,2007-03-17,2007,False,Texas Parks and Wildlife Department - Law Enforcement Division, TX
21230,Deputy Sheriff Manuel Villegas,"Riverside County Sheriff's Department, CA","EOW: Monday, March 19, 2007",Cause of Death: Automobile accident,Automobile accident,2007-03-19,2007,False,Riverside County Sheriff's Department, CA
21231,Deputy Sheriff Eric Sikes,"Richmond County Sheriff's Office, GA","EOW: Wednesday, March 21, 2007",Cause of Death: Automobile accident,Automobile accident,2007-03-21,2007,False,Richmond County Sheriff's Office, GA
21232,Officer Daniel C. Martinez,"Fort Smith Police Department, AR","EOW: Friday, March 23, 2007",Cause of Death: Gunfire,Gunfire,2007-03-23,2007,False,Fort Smith Police Department, AR
21233,Senior Corporal Mark Timothy Nix,"Dallas Police Department, TX","EOW: Friday, March 23, 2007",Cause of Death: Gunfire,Gunfire,2007-03-23,2007,False,Dallas Police Department, TX
21234,Police Officer Lonnie Wells,"Moncks Corner Police Department, SC","EOW: Sunday, March 25, 2007",Cause of Death: Gunfire,Gunfire,2007-03-25,2007,False,Moncks Corner Police Department, SC
21235,Petty Officer Ronald Gill,"United States Coast Guard Office of Law Enforcement, US","EOW: Sunday, March 25, 2007",Cause of Death: Boating accident,Boating accident,2007-03-25,2007,False,United States Coast Guard Office of Law Enforcement, US
21236,Police Officer Doug Byrne,"Aurora Police Department, CO","EOW: Monday, March 26, 2007",Cause of Death: Automobile accident,Automobile accident,2007-03-26,2007,False,Aurora Police Department, CO
21237,Corporal Marcus Stiles,"Moncks Corner Police Department, SC","EOW: Monday, March 26, 2007",Cause of Death: Gunfire,Gunfire,2007-03-26,2007,False,Moncks Corner Police Department, SC
